"Pathway_Code","Pathway_Name","Gene"
"UV_up","UV response up","ABCB1"
"UV_up","UV response up","ACAA1"
"UV_up","UV response up","AGO2"
"UV_up","UV response up","ALAS1"
"UV_up","UV response up","ALDOA"
"UV_up","UV response up","AMD1"
"UV_up","UV response up","AP2S1"
"UV_up","UV response up","APOM"
"UV_up","UV response up","AQP3"
"UV_up","UV response up","ARRB2"
"UV_up","UV response up","ASNS"
"UV_up","UV response up","ATF3"
"UV_up","UV response up","ATP6V1C1"
"UV_up","UV response up","ATP6V1F"
"UV_up","UV response up","BAK1"
"UV_up","UV response up","BCL2L11"
"UV_up","UV response up","BID"
"UV_up","UV response up","BMP2"
"UV_up","UV response up","BSG"
"UV_up","UV response up","BTG1"
"UV_up","UV response up","BTG2"
"UV_up","UV response up","BTG3"
"UV_up","UV response up","C4BPB"
"UV_up","UV response up","CA2"
"UV_up","UV response up","CASP3"
"UV_up","UV response up","CCK"
"UV_up","UV response up","CCND3"
"UV_up","UV response up","CCNE1"
"UV_up","UV response up","CDC34"
"UV_up","UV response up","CDC5L"
"UV_up","UV response up","CDK2"
"UV_up","UV response up","CDKN1C"
"UV_up","UV response up","CDKN2B"
"UV_up","UV response up","CDO1"
"UV_up","UV response up","CEBPG"
"UV_up","UV response up","CHKA"
"UV_up","UV response up","CHRNA5"
"UV_up","UV response up","CLCN2"
"UV_up","UV response up","CLTB"
"UV_up","UV response up","CNP"
"UV_up","UV response up","COL2A1"
"UV_up","UV response up","CREG1"
"UV_up","UV response up","CTSV"
"UV_up","UV response up","CXCL2"
"UV_up","UV response up","CYB5B"
"UV_up","UV response up","CYB5R1"
"UV_up","UV response up","CYP1A1"
"UV_up","UV response up","DDX21"
"UV_up","UV response up","DGAT1"
"UV_up","UV response up","DLG4"
"UV_up","UV response up","DNAJA1"
"UV_up","UV response up","DNAJB1"
"UV_up","UV response up","E2F5"
"UV_up","UV response up","EIF2S3"
"UV_up","UV response up","EIF5"
"UV_up","UV response up","ENO2"
"UV_up","UV response up","EPCAM"
"UV_up","UV response up","EPHX1"
"UV_up","UV response up","FEN1"
"UV_up","UV response up","FGF18"
"UV_up","UV response up","FKBP4"
"UV_up","UV response up","FMO1"
"UV_up","UV response up","FOS"
"UV_up","UV response up","FOSB"
"UV_up","UV response up","FURIN"
"UV_up","UV response up","GAL"
"UV_up","UV response up","GCH1"
"UV_up","UV response up","GGH"
"UV_up","UV response up","GLS"
"UV_up","UV response up","GPX3"
"UV_up","UV response up","GRINA"
"UV_up","UV response up","GRPEL1"
"UV_up","UV response up","H2AX"
"UV_up","UV response up","HLA-F"
"UV_up","UV response up","HMOX1"
"UV_up","UV response up","HNRNPU"
"UV_up","UV response up","HSPA13"
"UV_up","UV response up","HSPA2"
"UV_up","UV response up","HTR7"
"UV_up","UV response up","HYAL2"
"UV_up","UV response up","ICAM1"
"UV_up","UV response up","IGFBP2"
"UV_up","UV response up","IL6"
"UV_up","UV response up","IL6ST"
"UV_up","UV response up","IRF1"
"UV_up","UV response up","JUNB"
"UV_up","UV response up","KCNH2"
"UV_up","UV response up","KLHDC3"
"UV_up","UV response up","LHX2"
"UV_up","UV response up","LYN"
"UV_up","UV response up","MAOA"
"UV_up","UV response up","MAPK8IP2"
"UV_up","UV response up","MARK2"
"UV_up","UV response up","MGAT1"
"UV_up","UV response up","MMP14"
"UV_up","UV response up","MRPL23"
