sample,colour,age,gender,donor
S21_B_sfATAC_R1,Black,37,female,D21
S21_B_sfATAC_R2,Black,37,female,D21
S01_B_sfATAC_R1,Black,32,male,D22
S19_B_sfATAC_R1,Black,29,female,D19
S19_B_sfATAC_R2,Black,29,female,D19
S16_B_sfATAC_R1,Black,24,male,D16
S16_B_sfATAC_R2,Black,24,male,D16
S16_B_sfATAC_R3,Black,24,male,D16
S20_B_sfATAC_R1,Black,35,female,D20
S20_B_sfATAC_R2,Black,35,female,D20
S20_B_sfATAC_R3,Black,35,female,D20
S13_B_sfATAC_R1,Black,21,male,D13
S13_B_sfATAC_R2,Black,21,male,D13
S13_B_sfATAC_R3,Black,21,male,D13
S02_B_sfATAC_R1,Black,32,male,D23
S02_B_sfATAC_R2,Black,32,male,D23
S03_B_sfATAC_R1,Black,29,female,D24
S03_B_sfATAC_R2,Black,29,female,D24
S16_B_sfATAC_R4,Black,24,male,D16
S16_B_sfATAC_R5,Black,24,male,D16
S17_B_sfATAC_R1,Black,31,male,D17
S18_B_sfATAC_R1,Black,35,male,D18
S18_B_sfATAC_R2,Black,35,male,D18
S18_B_sfATAC_R3,Black,35,male,D18
S19_B_sfATAC_R3,Black,29,female,D19
S19_B_sfATAC_R4,Black,29,female,D19
S21_G_sfATAC_R1,Gray,37,female,D21
S18_G_sfATAC_R1,Gray,35,male,D18
S19_G_sfATAC_R1,Gray,29,female,D19
S16_G_sfATAC_R1,Gray,24,male,D16
S16_G_sfATAC_R2,Gray,24,male,D16
S20_G_sfATAC_R1,Gray,35,female,D20
S20_G_sfATAC_R2,Gray,35,female,D20
S13_G_sfATAC_R1,Gray,21,male,D13
S13_G_sfATAC_R2,Gray,21,male,D13
S01_G_sfATAC_R1,Gray,32,male,D22
S01_G_sfATAC_R2,Gray,32,male,D22
S14_G_sfATAC_R1,Gray,25,female,D14
S14_G_sfATAC_R2,Gray,25,female,D14
S14_G_sfATAC_R3,Gray,25,female,D14
S14_G_sfATAC_R4,Gray,25,female,D14
S14_G_sfATAC_R5,Gray,25,female,D14
S15_G_sfATAC_R1,Gray,26,female,D15
S15_G_sfATAC_R2,Gray,26,female,D15
S02_G_sfATAC_R1,Gray,32,male,D23
S02_G_sfATAC_R2,Gray,32,male,D23
S03_G_sfATAC_R1,Gray,29,female,D24
S03_G_sfATAC_R2,Gray,29,female,D24
S03_G_sfATAC_R3,Gray,29,female,D24
S17_G_sfATAC_R1,Gray,31,male,D17
S18_G_sfATAC_R2,Gray,35,male,D18
S18_G_sfATAC_R3,Gray,35,male,D18
S19_G_sfATAC_R2,Gray,29,female,D19
S20_G_sfATAC_R3,Gray,35,female,D20
S20_G_sfATAC_R4,Gray,35,female,D20
S20_G_sfATAC_R5,Gray,35,female,D20
S21_G_sfATAC_R2,Gray,37,female,D21
S21_G_sfATAC_R3,Gray,37,female,D21
