sample	total_mapped	in_peaks	FRiP
S21_B_sfATAC_R1	5663326	102211	0.018048
S21_B_sfATAC_R2	6235286	121975	0.019562
S21_G_sfATAC_R1	7498702	136825	0.018246
S01_B_sfATAC_R1	8473882	308038	0.036351
S18_G_sfATAC_R1	9408410	296237	0.031486
S19_B_sfATAC_R1	18935426	481424	0.025425
S19_B_sfATAC_R2	17922904	467127	0.026063
S19_G_sfATAC_R1	14950532	461653	0.030879
S16_B_sfATAC_R1	24953498	1241402	0.049749
S16_B_sfATAC_R2	4809452	198705	0.041316
S16_B_sfATAC_R3	8466888	282499	0.033365
S16_G_sfATAC_R1	10562034	327129	0.030972
S16_G_sfATAC_R2	7990544	313981	0.039294
S20_B_sfATAC_R1	4743898	153643	0.032388
S20_B_sfATAC_R2	6610616	175274	0.026514
S20_B_sfATAC_R3	11632408	412044	0.035422
S20_G_sfATAC_R1	7586806	305017	0.040204
S20_G_sfATAC_R2	8076530	259303	0.032106
S13_B_sfATAC_R1	5283826	255543	0.048363
S13_B_sfATAC_R2	12832542	353596	0.027555
S13_B_sfATAC_R3	4422290	119498	0.027022
S13_G_sfATAC_R1	12119944	515957	0.042571
S13_G_sfATAC_R2	11894126	372519	0.03132
S01_G_sfATAC_R1	6525170	334768	0.051304
S01_G_sfATAC_R2	10491076	1038742	0.099012
S14_G_sfATAC_R1	9448170	485394	0.051374
S14_G_sfATAC_R2	3151664	190891	0.060568
S14_G_sfATAC_R3	13481414	877013	0.065053
S14_G_sfATAC_R4	15973390	931860	0.058338
S14_G_sfATAC_R5	4818938	117972	0.024481
S15_G_sfATAC_R1	15774730	648126	0.041086
S15_G_sfATAC_R2	6195924	309593	0.049967
S02_B_sfATAC_R1	2984482	127388	0.042683
S02_B_sfATAC_R2	2386034	109331	0.045821
S02_G_sfATAC_R1	17759766	718532	0.040458
S02_G_sfATAC_R2	2420362	67844	0.028031
S03_B_sfATAC_R1	6017054	175096	0.0291
S03_B_sfATAC_R2	5932544	112029	0.018884
S03_G_sfATAC_R1	7901526	149667	0.018942
S03_G_sfATAC_R2	5039274	88691	0.0176
S03_G_sfATAC_R3	6984118	86226	0.012346
S16_B_sfATAC_R4	3563934	73174	0.020532
S16_B_sfATAC_R5	4427316	96516	0.0218
S17_B_sfATAC_R1	2221950	61854	0.027838
S17_G_sfATAC_R1	16265390	973415	0.059846
S18_B_sfATAC_R1	3261120	64710	0.019843
S18_B_sfATAC_R2	4380126	90793	0.020728
S18_B_sfATAC_R3	4458086	103614	0.023242
S18_G_sfATAC_R2	12156630	481496	0.039608
S18_G_sfATAC_R3	6772232	319640	0.047199
S19_B_sfATAC_R3	2502544	89261	0.035668
S19_B_sfATAC_R4	1870932	96683	0.051676
S19_G_sfATAC_R2	2637724	126528	0.047969
S20_G_sfATAC_R3	5076400	116417	0.022933
S20_G_sfATAC_R4	3559004	131007	0.03681
S20_G_sfATAC_R5	6733904	173008	0.025692
S21_G_sfATAC_R2	10010458	669870	0.066917
S21_G_sfATAC_R3	8673386	629261	0.072551
